Artifact Name,Final Patch,Build Outcome,Time in s
pandas_112_0.log,numpy==1.18.0rc1 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.53.1,Exhausted all options,11080.1461
pandas_12_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.10.4 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,18006.1181
pandas_120_0.log,numpy==1.17.4 pytest==5.3.0 attrs==19.3.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.44.2,Exhausted all options,18799.7487
pandas_13_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.10.4 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,20442.6808
pandas_132_0.log,numpy==1.17.3 pytest==5.2.2 atomicwrites==1.3.0 attrs==19.3.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.3 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.42.7,Exhausted all options,19870.7443
pandas_138_0.log,numpy==1.17.2 pytest==5.2.1 atomicwrites==1.3.0 attrs==19.2.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.3 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.39.0,Exhausted all options,24338.2021
pandas_142_0.log,numpy==1.17.2 pytest==5.2.0 atomicwrites==1.3.0 attrs==19.2.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.2 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.38.0,Exhausted all options,24503.8823
pandas_145_0.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.2 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.36.2,Exhausted all options,22043.628
pandas_146_0.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.2 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.36.2,Exhausted all options,24292.1021
pandas_147_0.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.13.0 py==1.8.0 packaging==19.2 more_itertools==7.2.0 pytz==2019.2 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.36.2,Exhausted all options,18925.5444
pandas_152_0.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.13.0 py==1.8.0 packaging==19.1 more_itertools==7.2.0 pytz==2019.2 python-dateutil==2.8.0 six==1.9.0 hypothesis==4.36.0,Exhausted all options,22121.0375
pandas_154_0.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.12.0 importlib_metadata==0.20 zipp==0.6.0 more_itertools==7.2.0,Exhausted all options,16382.5202
pandas_154_1.log,numpy==1.17.2 pytest==5.1.2 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.12.0 importlib_metadata==0.20 zipp==0.6.0 more_itertools==7.2.0,Exhausted all options,16410.7563
pandas_17_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.10.4 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,19639.912
pandas_2_0.log,virtualenv==20.0.21 cython==3.0a5 numpy==1.19.0rc1 pytest==5.4.2 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.4 more_itertools==8.3.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.15.1 sortedcontainers==2.1.0,Exhausted all options,22017.9319
pandas_30_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.8.0 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,20357.6765
pandas_31_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.8.0 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,19669.0491
pandas_36_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.8.0 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,20452.4208
pandas_37_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.8.0 sortedcontainers==2.1.0 wcwidth==0.1.9,Exhausted all options,19586.6796
pandas_4_1.log,virtualenv==20.0.20 cython==3.0a4 numpy==1.18.4,Exhausted all options,366.006377
pandas_45_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.6.0 sortedcontainers==2.1.0 wcwidth==0.1.8,Exhausted all options,20461.1702
pandas_48_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.6.0 sortedcontainers==2.1.0,Exhausted all options,18821.7971
pandas_49_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.3 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.6.0 sortedcontainers==2.1.0,Exhausted all options,18897.8629
pandas_5_1.log,virtualenv==20.0.20 cython==3.0a4 numpy==1.18.4,Exhausted all options,391.207591
pandas_51_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.1 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.5.4 sortedcontainers==2.1.0,Exhausted all options,18691.2302
pandas_57_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.1 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.5.4 sortedcontainers==2.1.0,Exhausted all options,18774.4777
pandas_63_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.1 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.4.2 sortedcontainers==2.1.0,Exhausted all options,18198.0215
pandas_68_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.1 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.4.1 sortedcontainers==2.1.0,Exhausted all options,9285.25664
pandas_7_0.log,pytest==5.3.5 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.1 more_itertools==8.2.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.4.1 sortedcontainers==2.1.0,Exhausted all options,18515.2055
pandas_77_0.log,pytest==5.3.4 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.0 more_itertools==8.1.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.3.0 sortedcontainers==2.1.0,Exhausted all options,17445.4603
pandas_79_0.log,pytest==5.3.4 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.0 more_itertools==8.1.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.3.0 sortedcontainers==2.1.0,Exhausted all options,18845.6867
pandas_86_0.log,pytest==5.3.3 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.0 more_itertools==8.1.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.1.5 sortedcontainers==2.1.0,Exhausted all options,18030.1225
pandas_90_0.log,pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.0 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.1.2 sortedcontainers==2.1.0,Exhausted all options,12345.5673
pandas_91_0.log,pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==20.0 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.1.2 sortedcontainers==2.1.0,Exhausted all options,18741.2148
pandas_99_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.0.1 sortedcontainers==2.1.0,Exhausted all options,18893.2346
PySnooper_2_1.log,pytest==5.0.1 atomicwrites==1.3.0 attrs==19.1.0 pluggy==0.12.0 importlib_metadata==0.19 zipp==0.5.2,Exhausted all options,612.4686
scrapy_1_0.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.5.2 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1559.69928
scrapy_1_1.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.5.2 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1600.78313
scrapy_10_1.log,w3lib==1.15.0 lxml==3.6.4,Exhausted all options,286.198521
scrapy_11_0.log,w3lib==1.15.0 lxml==3.6.1,Exhausted all options,303.935946
scrapy_11_1.log,w3lib==1.15.0 lxml==3.6.1,Exhausted all options,391.698007
scrapy_12_1.log,w3lib==1.15.0 lxml==3.6.1,Exhausted all options,320.306603
scrapy_13_0.log,w3lib==1.15.0 lxml==3.6.1,Exhausted all options,333.362971
scrapy_13_1.log,w3lib==1.15.0 lxml==3.6.1,Exhausted all options,308.346486
scrapy_14_0.log,w3lib==1.14.2 lxml==3.6.0,Exhausted all options,349.96225
scrapy_14_1.log,w3lib==1.14.2 lxml==3.6.0,Exhausted all options,317.90795
scrapy_15_1.log,w3lib==1.14.2 lxml==3.6.0,Exhausted all options,323.432155
scrapy_16_1.log,w3lib==1.14.2 lxml==3.6.0,Exhausted all options,219.756424
scrapy_17_1.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,394.157768
scrapy_18_0.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,323.778387
scrapy_18_1.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,321.146834
scrapy_19_0.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,353.2624
scrapy_19_1.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,335.159947
scrapy_2_0.log,w3lib==1.21.0,Exhausted all options,269.596228
scrapy_20_1.log,testfixtures==4.8.0 w3lib==1.13.0 lxml==3.5.0,Exhausted all options,479.10412
scrapy_21_0.log,w3lib==1.13.0 service_identity==14.0.0 pyasn1_modules==0.0.8 characteristic==14.3.0 lxml==3.5.0,Exhausted all options,961.858666
scrapy_21_1.log,w3lib==1.13.0 service_identity==14.0.0 pyasn1_modules==0.0.8 characteristic==14.3.0 lxml==3.5.0,Exhausted all options,850.456305
scrapy_22_0.log,leveldb==0.193,Exhausted all options,508.343079
scrapy_22_1.log,leveldb==0.193,Exhausted all options,473.301912
scrapy_23_0.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,255.497684
scrapy_23_1.log,w3lib==1.13.0 lxml==3.5.0,Exhausted all options,305.633896
scrapy_24_1.log,w3lib==1.13.0 service_identity==14.0.0 pyasn1_modules==0.0.8 characteristic==14.3.0 lxml==3.5.0,Exhausted all options,896.571137
scrapy_25_0.log,w3lib==1.12.0 lxml==3.5.0b1,Exhausted all options,301.170072
scrapy_25_1.log,w3lib==1.13.0 lxml==3.5.0b1,Exhausted all options,336.558208
scrapy_26_1.log,w3lib==1.12.0 lxml==3.5.0b1,Exhausted all options,299.762577
scrapy_27_1.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,308.532537
scrapy_28_0.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,321.783584
scrapy_28_1.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,331.717616
scrapy_29_1.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,309.432075
scrapy_3_1.log,w3lib==1.21.0 lxml==4.4.1 parsel==1.5.2 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.7,Exhausted all options,1502.86443
scrapy_30_0.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,320.402912
scrapy_30_1.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,311.825846
scrapy_31_0.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,321.613899
scrapy_31_1.log,w3lib==1.12.0 lxml==3.4.4,Exhausted all options,295.211464
scrapy_32_1.log,w3lib==1.11.0 lxml==3.4.4,Exhausted all options,321.946421
scrapy_33_0.log,testfixtures==4.1.2 service_identity==14.0.0 pyasn1_modules==0.0.5 characteristic==14.3.0 w3lib==1.11.0 lxml==3.4.4,Exhausted all options,1088.82885
scrapy_33_1.log,testfixtures==4.1.2 service_identity==14.0.0 pyasn1_modules==0.0.5 w3lib==1.11.0 lxml==3.4.4,Exhausted all options,1259.07655
scrapy_34_0.log,w3lib==1.11.0 lxml==3.4.4,Exhausted all options,215.649272
scrapy_34_1.log,w3lib==1.11.0 lxml==3.4.4,Exhausted all options,392.234111
scrapy_35_0.log,w3lib==1.11.0 lxml==3.4.3,Exhausted all options,298.892537
scrapy_35_1.log,w3lib==1.11.0 lxml==3.4.3,Exhausted all options,290.468052
scrapy_36_0.log,w3lib==1.21.0 lxml==4.5.0 parsel==1.6.0 cssselect==1.1.0 service_identity==18.1.0 pyasn1_modules==0.2.8,Exhausted all options,1412.20881
scrapy_39_1.log,testfixtures==4.13.4 w3lib==1.17.0 lxml==3.7.2,Exhausted all options,415.31861
scrapy_4_0.log,w3lib==1.19.0 lxml==4.2.4 parsel==1.5.0 cssselect==1.0.3 service_identity==17.0.0 pyasn1_modules==0.2.2 Twisted==18.7.0,Exhausted all options,3220.84113
scrapy_40_0.log,leveldb==0.193,Exhausted all options,411.977552
scrapy_40_1.log,leveldb==0.193,Exhausted all options,493.693107
scrapy_6_0.log,w3lib==1.17.0 lxml==3.7.3,Exhausted all options,316.744051
scrapy_6_1.log,w3lib==1.17.0 lxml==3.7.3,Exhausted all options,377.08567
scrapy_7_0.log,w3lib==1.17.0 lxml==3.7.2,Exhausted all options,303.845726
scrapy_7_1.log,w3lib==1.17.0 lxml==3.7.2,Exhausted all options,292.452034
scrapy_8_0.log,w3lib==1.16.0 lxml==3.7.2,Exhausted all options,293.61923
scrapy_8_1.log,w3lib==1.16.0 lxml==3.7.2,Exhausted all options,335.935787
scrapy_9_0.log,w3lib==1.16.0 lxml==3.6.4,Exhausted all options,393.460715
scrapy_9_1.log,w3lib==1.16.0 lxml==3.6.4,Exhausted all options,357.10042
tornado_1_0.log,virtualenv==16.4.3,Exhausted all options,88.6979485
tornado_1_1.log,virtualenv==16.4.3,Exhausted all options,57.9462724
tornado_10_0.log,virtualenv==15.1.0,Exhausted all options,112.735026
tornado_10_1.log,virtualenv==15.1.0,Exhausted all options,114.167871
tornado_11_0.log,virtualenv==15.0.2,Exhausted all options,127.202897
tornado_11_1.log,virtualenv==15.0.2,Exhausted all options,94.2159054
tornado_12_0.log,virtualenv==13.1.2,Exhausted all options,145.343529
tornado_12_1.log,unittest==0.0,Exhausted all options,73.554409
tornado_13_0.log,virtualenv==14.0.6,Exhausted all options,68.4118428
tornado_13_1.log,unittest==0.0,Exhausted all options,78.2354629
tornado_14_0.log,virtualenv==13.1.0,Exhausted all options,120.03401
tornado_14_1.log,virtualenv==13.1.0,Exhausted all options,83.2838659
tornado_15_0.log,unittest==0.0,Exhausted all options,79.0344055
tornado_15_1.log,unittest==0.0,Exhausted all options,84.5298839
tornado_16_0.log,virtualenv==12.1.1,Exhausted all options,94.8137033
tornado_16_1.log,unittest==0.0,Exhausted all options,80.1410322
tornado_2_0.log,virtualenv==16.0.0,Exhausted all options,68.6604235
tornado_2_1.log,virtualenv==16.2.0,Exhausted all options,115.723346
tornado_3_0.log,virtualenv==16.1.0,Exhausted all options,101.443942
tornado_3_1.log,virtualenv==16.1.0,Exhausted all options,73.5533283
tornado_4_0.log,virtualenv==16.1.0,Exhausted all options,84.1997144
tornado_4_1.log,virtualenv==16.1.0,Exhausted all options,84.22335
tornado_5_0.log,virtualenv==15.2.0,Exhausted all options,83.0021152
tornado_5_1.log,unittest==0.0,Exhausted all options,72.4717305
tornado_6_0.log,unittest==0.0,Exhausted all options,118.672236
tornado_6_1.log,unittest==0.0,Exhausted all options,78.9440882
tornado_7_0.log,virtualenv==15.1.0,Exhausted all options,95.3303378
tornado_7_1.log,unittest==0.0,Exhausted all options,67.3021719
tornado_8_0.log,virtualenv==15.1.0,Exhausted all options,92.366086
tornado_8_1.log,virtualenv==15.1.0,Exhausted all options,88.5369737
tornado_9_0.log,virtualenv==15.1.0,Exhausted all options,84.903594
tornado_9_1.log,virtualenv==15.1.0,Exhausted all options,74.8024974
black_10_0.log,click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,No longer recognized as a dependency error,315.876284
black_11_0.log,virtualenv==16.2.0 click==7.0 appdirs==1.4.3 attrs==18.2.0 toml==0.10.0,No longer recognized as a dependency error,482.191913
black_12_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,486.037286
black_13_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,467.595901
black_14_0.log,click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,383.579898
black_15_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,517.148254
black_16_0.log,click==6.7 appdirs==1.4.3 attrs==18.1.0 toml==0.9.4,No longer recognized as a dependency error,358.302966
black_17_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0,No longer recognized as a dependency error,447.061106
black_18_0.log,virtualenv==16.0.0 click==6.7 appdirs==1.4.3 attrs==18.1.0,No longer recognized as a dependency error,409.872573
black_19_0.log,virtualenv==15.2.0 click==6.7 appdirs==1.4.3 attrs==17.4.0,No longer recognized as a dependency error,349.867242
black_20_0.log,virtualenv==15.2.0 click==6.7 appdirs==1.4.3 attrs==17.4.0,No longer recognized as a dependency error,395.267294
black_22_0.log,virtualenv==15.2.0 click==6.7 attrs==17.4.0,No longer recognized as a dependency error,324.421145
black_23_0.log,virtualenv==15.2.0 click==6.7 attrs==17.4.0,No longer recognized as a dependency error,326.456393
black_4_0.log,virtualenv==16.7.2 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0 typed_ast==1.4.0,No longer recognized as a dependency error,508.362658
black_5_0.log,virtualenv==16.6.0 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0 typed_ast==1.4.0,No longer recognized as a dependency error,588.736832
black_7_0.log,virtualenv==16.5.0 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0,No longer recognized as a dependency error,514.643547
black_8_0.log,click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0,No longer recognized as a dependency error,323.890175
black_9_0.log,virtualenv==16.4.3 click==7.0 appdirs==1.4.3 attrs==19.1.0 toml==0.10.0,No longer recognized as a dependency error,517.111484
matplotlib_1_0.log,pytest==5.4.3 py==1.8.1 attrs==19.3.0 pluggy==1.0.0.dev0 packaging==20.4 more_itertools==8.3.0 wcwidth==0.2.4,No longer recognized as a dependency error,2134.24172
pandas_1_0.log,virtualenv==20.0.21 cython==3.0a5 numpy==1.19.0rc1 pytest==5.4.2 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.4 more_itertools==8.3.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.15.1 sortedcontainers==2.1.0 wcwidth==0.1.9,No longer recognized as a dependency error,21763.6444
pandas_10_0.log,pytest==5.4.1 py==1.8.1 attrs==19.3.0 pluggy==0.13.1 packaging==20.3 more_itertools==8.2.0 pytz==2020.1 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.10.5 sortedcontainers==2.1.0 wcwidth==0.1.9,No longer recognized as a dependency error,18564.7625
pandas_100_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.0.1 sortedcontainers==2.1.0,No longer recognized as a dependency error,18988.4635
pandas_101_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.0.0 sortedcontainers==2.1.0,No longer recognized as a dependency error,19762.1903
pandas_102_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.1 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==5.0.0 sortedcontainers==2.1.0,No longer recognized as a dependency error,12185.0585
pandas_107_0.log,numpy==1.18.0 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.3 sortedcontainers==2.1.0,No longer recognized as a dependency error,19808.5562
pandas_108_0.log,numpy==1.18.0rc1 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.56.1 sortedcontainers==2.1.0,No longer recognized as a dependency error,17681.2749
pandas_109_0.log,numpy==1.18.0rc1 pytest==5.3.2 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.55.2 sortedcontainers==2.1.0,No longer recognized as a dependency error,17436.6249
pandas_111_0.log,numpy==1.18.0rc1 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.53.1,No longer recognized as a dependency error,18675.4255
pandas_113_0.log,numpy==1.18.0rc1 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.2 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.53.1,No longer recognized as a dependency error,9233.2615
pandas_114_0.log,numpy==1.17.4 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.50.6,No longer recognized as a dependency error,18523.2541
pandas_115_0.log,numpy==1.17.4 pytest==5.3.1 attrs==19.3.0 pluggy==0.13.1 py==1.8.0 packaging==19.2 more_itertools==8.0.0 pytz==2019.3 python-dateutil==2.8.1 six==1.9.0 hypothesis==4.50.6,No longer recognized as a dependency error,18694.0533
